Load,REHourlyCF
745.3206022,0.181007025
794.9981807,0.186219476
741.0086263,0.202184373
738.3393157,0.231618062
733.4887471,0.26040796
791.2328375,0.285623122
782.6094383,0.311623258
775.1807268,0.333546048
768.9131407,0.352063521
764.1875822,0.356795952
762.5713462,0.342231584
772.3619557,0.315570715
734.3319909,0.290253902
739.6663626,0.274915855
737.7308536,0.279168267
733.9125347,0.29489033
779.2915327,0.303722695
744.0422434,0.30544512
709.2781289,0.284273419
688.0837903,0.27832682
677.5619207,0.264106937
674.6260524,0.248096862
677.5884649,0.233588967
688.2787191,0.215432921
719.4188124,0.192646095
768.5640652,0.179747679
733.3424773,0.176890149
799.5560313,0.188834173
789.0567875,0.202026249
781.1100321,0.230432131
771.7398466,0.256556507
762.8683536,0.280461497
757.0070244,0.277061827
750.5479529,0.267320247
747.7422956,0.259103436
759.7636425,0.24263593
796.6020613,0.224694481
739.9127046,0.202918521
739.3312233,0.193792496
737.2588364,0.20137681
790.9449274,0.200778197
759.6682819,0.191742529
728.1165016,0.214111455
706.1887145,0.202873343
695.136462,0.221492467
691.1208203,0.236333552
692.1694818,0.233238835
701.4882977,0.236344846
728.3477761,0.248802774
774.7174193,0.271132169
734.4299802,0.271775961
734.0712908,0.282675235
733.3649358,0.294879035
798.6075928,0.323764937
794.4628261,0.360150444
788.4405342,0.385337369
781.8523705,0.393514649
777.2152419,0.40344259
774.4721907,0.405475615
778.2632596,0.397541169
799.4880716,0.385026768
736.4873304,0.355773792
796.9704883,0.31572884
781.8830951,0.311515959
758.9890404,0.307122366
729.2937206,0.297521968
697.1190292,0.260300662
674.8822067,0.251953963
662.1289229,0.242189794
655.1085311,0.240461723
652.5139618,0.246854458
656.176386,0.255031738
665.7031737,0.254732431
683.731876,0.249785403
703.0287756,0.250621202
718.7034765,0.243059477
726.0295638,0.227625426
721.8251599,0.251027807
711.1519487,0.271041813
697.0640416,0.266772459
682.4732179,0.253354492
673.3014595,0.243121598
670.6646671,0.23162371
680.2680861,0.225524633
709.7828789,0.216488965
731.4887727,0.198123969
728.9490873,0.185332851
721.6874725,0.196034471
708.3417292,0.185660394
687.2685205,0.180419707
665.0266992,0.173569541
646.4379919,0.158943053
636.8763539,0.158751045
633.3026488,0.163545596
632.4267923,0.176681199
636.2536227,0.185547449
646.7831272,0.198993652
663.8774817,0.203319479
680.3946133,0.212609275
689.5730896,0.222232262
684.6829611,0.229234905
674.9245498,0.25619508
664.553465,0.268681244
654.7419815,0.266789401
644.8333036,0.256861461
639.6960091,0.242551221
641.4469855,0.230420836
656.7379299,0.209153132
693.0895314,0.194667826
718.4487303,0.164449163
717.0423327,0.151979941
710.7578453,0.182034833
692.6125698,0.205708283
666.2970303,0.220622783
640.4214409,0.228907362
621.7554421,0.234091576
610.2072148,0.241433057
604.7941308,0.250423547
604.8800449,0.252705053
613.3112712,0.257081705
640.6230495,0.256437914
685.6706321,0.260814565
718.393257,0.265050035
727.383577,0.279755585
729.1292652,0.300599742
728.0335073,0.322641126
723.9598163,0.345072172
716.5872057,0.365046647
708.7843426,0.36768958
698.6134802,0.371179606
692.1997042,0.373099686
695.2861881,0.349928844
715.1372097,0.317338318
725.8465645,0.285905487
716.1629834,0.287780388
701.9285862,0.30346292
674.4031004,0.312910841
637.983905,0.311403013
603.6739079,0.303564571
578.6151435,0.3002722
564.5468225,0.299656645
557.0827804,0.302429465
555.0225287,0.305800899
563.0263839,0.312137161
590.6800395,0.317439969
638.9321688,0.321206714
667.2297791,0.328407012
663.5563148,0.351549617
655.8501002,0.3779733
649.6219483,0.39668278
641.7386501,0.415584269
635.0957445,0.420565181
631.6316982,0.426099528
625.8036583,0.424382751
622.7862365,0.424106034
626.7887752,0.405153719
650.7796084,0.396665838
667.6266931,0.371541033
662.2376975,0.353051797
649.8421226,0.367153087
627.2760019,0.376273465
594.8550123,0.378470261
562.0525854,0.366221284
537.4240518,0.385568908
524.3057463,0.37490682
516.741083,0.368028417
515.9918737,0.359947141
523.1342958,0.35609004
548.8606721,0.360009262
599.0434043,0.361330728
631.1651055,0.37238248
632.697763,0.408756692
633.1419644,0.430719013
634.5199515,0.471712711
636.0538205,0.502450925
634.5919386,0.503320608
633.08624,0.484040751
630.457639,0.457312115
630.9493298,0.44103097
639.6323935,0.426280241
661.3430625,0.41201518
671.6899442,0.375443312
666.8602879,0.323522104
655.0504764,0.320732341
634.0835049,0.318614606
604.9318018,0.314531614
574.8841867,0.305405589
552.8953816,0.306840001
540.4281415,0.305162755
534.8142784,0.316779236
534.6289434,0.330072963
544.6951405,0.334799747
580.3506266,0.344236373
